Project,Test,TestID,FailureFreq,FailureException,TestNameInStacktrace,TestClassNameInStacktrace,TotalStacktraceLines,TotalMutants,set(TotalMutants),TotalMatchException,TotalMatchStacktrace,TotalMatch,MostExceptionInMutants,MostExceptionInMutantsFreq
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario1,4,48,Exception,1,1,10,19,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario1,1,138,AssertionError,0,0,3,19,15,3,3,3,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario5,1,43,AssertionError,0,0,3,39,15,23,23,23,AssertionError,23
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario5,3,5,Exception,1,1,10,39,15,0,0,0,AssertionError,23
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario8,4,26,Exception,1,1,10,19,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario8,1,45,AssertionError,0,0,3,19,15,3,3,3,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario0,3,13,Exception,1,1,10,52,26,0,0,0,AssertionError,22
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario0,1,58,AssertionError,0,0,3,52,26,22,22,22,AssertionError,22
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario3,1,48,AssertionError,0,0,3,52,28,21,21,21,AssertionError,21
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario3,2,7,Exception,1,1,10,52,28,0,0,0,AssertionError,21
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario4,2,3,Exception,1,1,10,18,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario4,1,18,AssertionError,0,0,3,18,15,2,2,2,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario2,1,47,AssertionError,0,0,3,53,27,22,22,22,AssertionError,22
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario2,2,16,Exception,1,1,10,53,27,0,0,0,AssertionError,22
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario2,3,84,Exception,1,1,10,18,15,0,0,0,IllegalArgumentException,7
tootallnate-java-websocket,org.java_websocket.issues.Issue256Test.runReconnectScenario2,1,100,AssertionError,0,0,3,18,15,2,2,2,IllegalArgumentException,7
elasticjob-elastic-job-lite,io.elasticjob.lite.event.rdb.JobEventRdbSearchTest.assertFindJobStatusTraceEventsWithTime,1,1,AssertionError,1,1,1,49,30,22,0,0,AssertionError,22
elasticjob-elastic-job-lite,io.elasticjob.lite.event.rdb.JobEventRdbSearchTest.assertFindJobExecutionEventsWithTime,1,1,AssertionError,1,1,1,50,31,22,0,0,AssertionError,22
elasticjob-elastic-job-lite,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterQueryWithoutCacheTest.assertGetRegistryCenterTime,2,4,AssertionError,1,1,1,12,7,1,0,0,RegException,7
elasticjob-elastic-job-lite,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterQueryWithoutCacheTest.assertGetRegistryCenterTime,1,1,AssertionError,1,1,1,12,7,1,0,0,RegException,7
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.clientConfiguredCustomContentEncoding,1,4,AssertionError,0,1,6,355,211,20,0,0,NullPointerException,139
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.etag,1,1,SocketException,1,1,16,472,249,2,0,0,NullPointerException,182
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.authorizationResponseCachedWithMustRevalidate,1,1,SocketException,1,1,16,474,240,3,0,0,NullPointerException,161
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.responseSourceHeaderFetched,1,1,SocketException,1,1,15,397,239,2,0,0,NullPointerException,169
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.connectViaHttpProxyToHttpsUsingBadProxyAndHttpResponseCache,1,1,AssertionError,0,1,6,280,166,18,0,0,NullPointerException,121
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.connectViaHttpProxyToHttpsUsingBadProxyAndHttpResponseCache,2,8539,NoSuchMethodError,1,1,14,280,166,0,0,0,NullPointerException,121
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.serverSendsInvalidCodeTooLarge,1,4,AssertionError,0,1,6,242,147,19,0,0,NullPointerException,115
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.connectionCloseInRequest,1,4,AssertionError,0,1,6,309,191,26,0,0,NullPointerException,125
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.response307WithOptions,1,4,AssertionError,0,1,6,364,212,20,0,0,NullPointerException,146
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.redirectToAnotherOriginServer,1,4,AssertionError,0,1,6,448,228,76,0,0,NullPointerException,152
square-okhttp,com.squareup.okhttp.AsyncApiTest.redirect,1,1,AssertionError,1,1,2,97,55,24,0,0,NullPointerException,30
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.receiveGoAwayHttp2,1,26,AssertionError,1,1,7,209,82,36,5,5,ComparisonFailure,62
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.responseSourceHeaderConditionalCacheNotFetched,1,1,SocketException,1,1,15,562,275,4,0,0,NullPointerException,190
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.peerHttp2ServerZerosCompressionTable,1,456,AssertionError,1,1,6,75,22,54,7,7,AssertionError,54
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.disconnectedConnection,1,3,AssertionError,0,1,6,358,208,35,0,0,NullPointerException,142
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.unauthorizedResponseHandling,1,4,AssertionError,0,1,6,307,190,21,0,0,NullPointerException,137
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.fullyBufferedPostIsTooShort,1,1,AssertionError,0,1,6,272,149,35,0,0,NullPointerException,100
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.pushPromiseStream,2,118,AssertionError,1,1,5,236,68,27,0,0,IOException,130
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.pushPromiseStream,1,1243,AssertionError,1,1,6,236,68,27,19,19,IOException,130
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.serverClosesClientInputStream,1,2483,AssertionError,1,1,6,233,72,5,2,2,IOException,127
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.requestBodySurvivesRetriesWithChunkedStreaming,1,3,AssertionError,0,1,6,418,236,16,0,0,NullPointerException,154
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.readSendsWindowUpdate,1,5279,AssertionError,1,1,6,244,84,34,1,1,IOException,118
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.getOutputStreamOnGetFails,1,4,AssertionError,0,1,6,183,108,21,0,0,NullPointerException,77
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.requestPragmaNoCache,1,1,AssertionError,1,1,7,394,233,14,0,0,NullPointerException,168
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.response300MultipleChoiceWithPost,1,1,SocketException,1,1,14,445,244,4,0,0,NullPointerException,157
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.getHeadersDeletesCached100LevelWarnings,1,1,SocketException,1,1,15,485,247,2,0,0,NullPointerException,177
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.fixedLengthUpload_largeBuffers,1,4,AssertionError,0,1,6,380,216,28,0,0,NullPointerException,144
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.replyWithNoData,1,3,AssertionError,1,1,6,177,51,114,4,4,AssertionError,114
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.readAfterLastByte,1,4,AssertionError,0,1,6,384,216,15,0,0,NullPointerException,148
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.readAfterLastByte,2,1,SocketException,1,1,13,384,216,4,0,0,NullPointerException,148
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.noDefaultExpirationForUrlsWithQueryString,1,1,AssertionError,1,1,7,390,231,14,0,0,NullPointerException,173
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.zeroLengthPut,1,4,AssertionError,0,1,6,357,216,22,0,0,NullPointerException,125
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.maxAgeInTheFutureWithDateHeader,1,1,AssertionError,1,1,8,467,233,14,0,0,NullPointerException,168
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.serverShutdownOutput,5,260,AssertionError,1,1,7,462,231,18,3,3,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.serverShutdownOutput,1,4,AssertionError,0,1,6,462,231,18,0,0,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithBufferedRequestForSmallRequest,1,4,AssertionError,0,1,6,447,244,16,0,0,NullPointerException,155
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.responseCachingAndInputStreamSkipWithChunkedEncoding,1,1,SocketException,1,1,14,442,248,3,0,0,NullPointerException,174
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.responseCachingAndInputStreamSkipWithChunkedEncoding,2,1,AssertionError,1,1,8,442,248,19,0,0,NullPointerException,174
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.headersOnlyStreamIsClosedAfterReplyHeaders,2,3193,AssertionError,1,1,6,104,65,19,0,0,NullPointerException,36
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.headersOnlyStreamIsClosedAfterReplyHeaders,1,3,AssertionError,1,1,6,104,65,19,5,5,NullPointerException,36
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.getContentLengthConnects,1,3,AssertionError,0,1,6,311,172,58,0,0,NullPointerException,133
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.connectViaProxyUsingProxySystemProperty,1,3,AssertionError,0,1,6,373,208,27,0,0,NullPointerException,146
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.connectRetriesUntilConnectedOrFailed,1,5,AssertionError,1,1,3,170,93,22,7,7,NullPointerException,75
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.contentDisagreesWithChunkedHeader,1,3,AssertionError,0,1,6,363,211,14,0,0,NullPointerException,142
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.setProtocols,1,4,AssertionError,0,1,6,346,207,14,0,0,NullPointerException,144
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.expirationDateInThePastWithLastModifiedHeader,1,1,SocketException,1,1,16,561,278,4,0,0,NullPointerException,195
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.clientPrematureDisconnectWithContentLengthHeader,1,1,SocketException,1,1,14,374,218,3,0,0,NullPointerException,155
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.inputStreamAvailableWithContentLengthHeader,1,4,AssertionError,0,1,6,351,209,32,0,0,NullPointerException,140
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.fixedLengthUpload_smallBuffers,1,1,AssertionError,0,1,6,381,217,28,0,0,NullPointerException,143
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.setProtocolsWithoutHttp11,1,3,AssertionError,0,1,6,3,3,1,0,0,NullPointerException,2
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.cannotSetNegativeFixedLengthStreamingMode,1,4,AssertionError,0,1,6,18,15,2,0,0,NullPointerException,7
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.fullyBufferedPostIsTooLong,1,4,AssertionError,0,1,6,261,143,36,0,0,NullPointerException,97
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.nonHexChunkSize,1,3,AssertionError,0,1,6,309,193,22,0,0,NullPointerException,144
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.setInvalidRequestMethodLowercase,1,4,AssertionError,0,1,6,15,13,1,0,0,NullPointerException,7
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.chunkedUpload_byteByByte,1,4,AssertionError,0,1,6,371,215,30,0,0,NullPointerException,143
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.getContent,1,3,AssertionError,0,1,6,361,207,14,0,0,NullPointerException,145
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.requestOnlyIfCachedWithNoResponseCached,1,3,AssertionError,1,1,7,181,111,19,0,0,NullPointerException,74
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithFixedLengthRequestForSmallRequest,6,407,SocketException,1,1,14,443,245,2,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithFixedLengthRequestForSmallRequest,1,4,AssertionError,0,1,6,443,245,14,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithFixedLengthRequestForSmallRequest,5,11,EOFException,1,1,11,443,245,26,3,3,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.contentLocationDoesNotPopulateCache,1,1,AssertionError,1,1,7,369,221,14,0,0,NullPointerException,156
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.emptyResponseHeaderNameIsLenient,1,1,AssertionError,0,1,6,311,183,30,0,0,NullPointerException,134
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.responseCachingByResponseCode,3,1,AssertionError,1,1,7,518,275,103,0,0,NullPointerException,196
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.responseCachingByResponseCode,1,1,AssertionError,1,1,7,518,275,103,0,0,NullPointerException,196
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.responseCachingByResponseCode,2,1,AssertionError,1,1,7,518,275,103,0,0,NullPointerException,196
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.responseCacheReturnsNullOutputStream,1,3,AssertionError,0,1,6,353,208,14,0,0,NullPointerException,147
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.clientSuppliedConditionWithoutCachedResult,1,1,AssertionError,1,1,7,324,201,20,0,0,NullPointerException,131
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.clientPrematureDisconnectWithChunkedEncoding,1,1,SocketException,1,1,14,492,257,3,0,0,NullPointerException,172
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.response303SeeOtherWithPost,1,4,AssertionError,0,1,6,444,244,15,0,0,NullPointerException,157
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.redirectedWithChunkedEncoding,1,4,AssertionError,0,1,6,443,238,49,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithChunkedRequestForLargeRequest,3,3,AssertionError,0,1,6,452,242,16,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithChunkedRequestForLargeRequest,5,2,SocketException,1,1,14,452,242,13,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithChunkedRequestForLargeRequest,7,7,EOFException,1,1,11,452,242,22,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithChunkedRequestForLargeRequest,1,3,SocketException,1,1,11,452,242,13,10,10,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithChunkedRequestForLargeRequest,8,1037,SocketException,1,1,14,452,242,13,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithChunkedRequestForLargeRequest,2,2,SocketException,1,1,10,452,242,13,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.statisticsConditionalCacheMiss,1,1,SocketException,1,1,15,469,274,3,0,0,NullPointerException,190
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.remoteSendsDataAfterInFinished,1,57,IOException,1,1,4,258,74,132,26,26,IOException,132
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.maxAgePreferredWithMaxAgeAndExpires,1,2,AssertionError,1,1,8,465,232,14,0,0,NullPointerException,168
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.serverReturnsDocumentOlderThanCache,1,1,AssertionError,1,1,7,457,239,14,0,0,NullPointerException,176
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.inputStreamAvailableWithNoLengthHeaders,1,4,AssertionError,0,1,6,378,211,47,0,0,NullPointerException,142
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.inputStreamAvailableWithNoLengthHeaders,2,1,SocketException,1,1,14,378,211,2,0,0,NullPointerException,142
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.zeroLengthPost,1,3,AssertionError,0,1,6,356,215,22,0,0,NullPointerException,125
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.authenticateRealmUppercase,1,4,AssertionError,0,1,6,429,230,14,0,0,NullPointerException,154
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.maxFrameSizeHonored,1,3,SocketException,1,1,10,147,77,0,0,0,NullPointerException,46
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.authenticateWithChunkedStreaming,1,3,AssertionError,0,1,6,433,227,17,0,0,NullPointerException,149
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.getRequestPropertyReturnsLastValue,1,3,AssertionError,0,1,6,31,21,6,0,0,NullPointerException,8
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.receiveGoAway,1,9,AssertionError,1,1,6,155,81,28,4,4,NullPointerException,39
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.digestAuthentication,1,1,SocketException,1,1,14,307,192,2,0,0,NullPointerException,139
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.cacheCanUseCriteriaBesidesVariantObeyed,1,3,AssertionError,1,1,7,477,243,15,0,0,NullPointerException,164
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.canSetNegativeChunkedStreamingMode,1,1,AssertionError,0,1,6,14,12,0,0,0,NullPointerException,7
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithChunkedRequestForSmallRequest,2,2346,SocketException,1,1,14,437,242,3,0,0,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithChunkedRequestForSmallRequest,1,39,EOFException,1,1,11,437,242,24,1,1,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.veryLargeFixedLengthRequest,1,3,AssertionError,0,1,6,390,226,16,0,0,NullPointerException,144
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.response305UseProxy,1,4,AssertionError,0,1,6,359,210,16,0,0,NullPointerException,146
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.chunkedUpload_smallBuffers,1,4,AssertionError,0,1,6,370,214,29,0,0,NullPointerException,143
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.singleByteReadIsSigned,1,4,AssertionError,0,1,6,349,207,29,0,0,NullPointerException,142
square-okhttp,com.squareup.okhttp.internal.http.HttpResponseCacheTest.responseCaching_410,1,1,SocketException,1,1,14,481,246,4,0,0,NullPointerException,186
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.redirectedWithNoLengthHeaders,1,1,AssertionError,0,1,6,416,227,15,0,0,NullPointerException,149
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.gzipWithRedirectAndConnectionReuse,1,1,AssertionError,0,1,6,405,226,35,0,0,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.response307WithHead,1,4,AssertionError,0,1,6,371,213,35,0,0,NullPointerException,141
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.requestBodySurvivesRetriesWithFixedLength,1,2,SocketException,1,1,14,434,238,2,0,0,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.requestBodySurvivesRetriesWithFixedLength,2,28,SocketException,1,1,14,434,238,2,0,0,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.clientPrematureDisconnectWithNoLengthHeaders,1,1,AssertionError,1,1,8,387,222,16,0,0,NullPointerException,154
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.requestBodySurvivesRetriesWithBufferedBody,1,1,AssertionError,0,1,6,422,232,16,0,0,NullPointerException,153
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.responseHeaders,1,4,AssertionError,0,1,6,340,197,34,0,0,NullPointerException,154
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.setIfModifiedSince,1,1,AssertionError,1,1,7,365,214,21,0,0,NullPointerException,144
square-okhttp,com.squareup.okhttp.internal.spdy.SpdyConnectionTest.initialSettingsWithWindowSizeAdjustsConnection,1,5,NullPointerException,1,1,1,151,79,60,0,0,NullPointerException,60
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.setInvalidRequestMethodConnect,1,4,AssertionError,0,1,6,15,13,1,0,0,NullPointerException,7
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.serverShutdownInput,1,4,AssertionError,0,1,6,451,231,18,0,0,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.serverShutdownInput,2,1,SocketException,1,1,15,451,231,3,0,0,NullPointerException,152
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithFixedLengthRequestForLargeRequest,1,52,SocketException,1,1,11,461,246,14,10,10,NullPointerException,154
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithFixedLengthRequestForLargeRequest,3,616,SocketException,1,1,14,461,246,14,0,0,NullPointerException,154
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.postFailsWithFixedLengthRequestForLargeRequest,2,30,SocketException,1,1,10,461,246,14,0,0,NullPointerException,154
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.response302MovedTemporarilyWithPost,1,4,AssertionError,0,1,6,442,244,15,0,0,NullPointerException,156
square-okhttp,com.squareup.okhttp.internal.http.URLConnectionTest.earlyDisconnectDoesntHarmPoolingWithFixedLengthEncoding,1,4,AssertionError,0,1,6,419,217,75,0,0,NullPointerException,148
square-okhttp,com.squareup.okhttp.internal.http.ResponseCacheTest.maxAgePreferredOverLowerSharedMaxAge,1,1,SocketException,1,1,16,466,232,3,0,0,NullPointerException,169
